TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial15,17,17,0.0,0.0,6.713200533506926,1.7932085065130574,0.8092963249761965,0.0,0.0,1.0,3.0,5.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial15,17,18,0.0,0.0,-11.332032592433317,-0.4717633226509494,-0.8379040372102942,0.0,0.0,1.0,3.0,5.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial15,17,19,0.0,0.0,-15.160174728395218,-0.8919024201413737,-1.1873435301140056,0.0,0.0,1.0,3.0,5.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial15,17,20,0.0,0.0,-19.65622955434453,-1.3855929929129651,-1.5977512586275238,0.0,0.0,1.0,3.0,5.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial15,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial15,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial15,17,23,0.0,0.0,-6.292825323758984,0.1557748960191812,-0.3779164061189028,0.0,0.0,1.0,3.0,6.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial15,17,24,0.0,0.0,-7.68538240834023,-0.2104012651255462,-0.5050314463114397,0.0,0.0,1.0,3.0,6.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial15,18,17,0.0,0.0,-4.402146468137418,0.0387118458451472,-0.2053319416222208,0.0,0.0,1.0,3.0,5.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial15,18,18,0.0,0.0,-14.151513678209442,-1.2507566817485998,-1.095271189701787,0.0,0.0,1.0,3.0,5.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
