TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial63,43,53,2.0,0.0,-5.16326599202781,-0.6601858190875348,-0.3689758946557735,0.0,0.0,1.0,3.0,,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial63,43,54,2.0,0.0,-3.544979590639361,-0.4564671511756686,-0.2497022585571942,0.0,0.0,1.0,3.0,,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial63,43,55,2.0,0.0,-10.041557463655648,-0.6048032962340875,-0.7285238469036126,0.0,0.0,1.0,3.0,,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial63,43,56,2.0,0.0,12.34780047649464,0.6896619703225566,0.9216538528800188,0.0,0.0,1.0,4.0,5.0,,,,5.0,17.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial63,43,57,2.0,0.0,2.968503313630716,0.0349286733652608,0.2303652925213274,0.0,0.0,1.0,4.0,5.0,,,,5.0,17.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial63,43,58,0.0,0.0,0.2521408603805766,-0.0689236676734785,0.0301594287861903,0.0,0.0,1.0,4.0,5.0,,,,5.0,17.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial63,43,59,0.0,0.0,4.787072986200312,0.5114709615532643,0.364400539409565,0.0,0.0,1.0,4.0,6.0,7.0,9.0,9.0,7.0,17.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial63,43,60,0.0,0.0,-15.848288759567962,-1.1065024385368978,-1.1565012153821788,0.0,0.0,1.0,4.0,6.0,7.0,9.0,9.0,7.0,7.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial63,43,61,0.0,0.0,-12.970413458125613,-1.13009579144775,-0.9443912630605004,0.0,0.0,1.0,4.0,6.0,7.0,10.0,10.0,7.0,7.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial63,43,62,0.0,0.0,-4.569238689703682,-0.3247965722273006,-0.325193906356768,0.0,0.0,1.0,4.0,6.0,7.0,10.0,10.0,7.0,7.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
