TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial13,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial13,2,3,2.0,0.0,4.990648731630821,1.1619861301210712,1.623118768005311,0.0,0.0,1.0,3.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial13,2,4,2.0,0.0,-1.2995055089645493,-0.6148184242246459,0.809080356689154,0.0,0.0,2.0,5.0,7.0,,,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial13,2,5,2.0,0.0,-1.4946436587925007,-0.6514979255435763,0.7838266119641146,0.0,0.0,2.0,5.0,7.0,,,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial13,2,6,1.0,1.0,11.535528328717415,3.007360390794882,2.4701223844005136,1.0,0.0,2.0,5.0,8.0,9.0,11.0,9.0,9.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial13,2,7,1.0,1.0,-6.183609908647048,-1.6666133706393949,0.1770054608844567,1.0,0.0,2.0,5.0,8.0,9.0,11.0,9.0,9.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial13,2,8,1.0,1.0,-2.517660258961208,-0.4459664633766609,0.6514332276211946,1.0,0.0,2.0,5.0,8.0,9.0,11.0,9.0,9.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial13,3,2,2.0,0.0,-5.358828984232479,0.0390804580725284,0.2837442351201038,0.0,0.0,1.0,3.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial13,3,3,2.0,0.0,-3.861380058799578,0.465900498694123,0.4775361355506896,0.0,0.0,1.0,3.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial13,3,4,2.0,0.0,-5.118933605320261,0.1770333791733211,0.314790223129661,0.0,0.0,2.0,5.0,7.0,,,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial13,3,5,2.0,0.0,-9.225043111804345,-0.8874516894799662,-0.2166006985390732,0.0,0.0,2.0,5.0,7.0,,,7.0,7.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial13,3,6,1.0,1.0,-4.786076338682626,0.3248853182153172,0.3578668457631772,0.0,0.0,2.0,5.0,8.0,9.0,11.0,9.0,9.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
