TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_TreeDepth7,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial93,1,17,1.0,1.0,9.000751662119646,1.975762358056236,1.3123956218611432,1.0,0.0,1.0,3.0,5.0,,,,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Trial93,1,18,1.0,1.0,-22.555769258027937,-2.104366514392661,-2.1537242772252942,1.0,0.0,1.0,3.0,5.0,,,,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Trial93,1,19,1.0,1.0,-10.309527878918178,-0.2431668562710395,-0.8086158908934098,1.0,0.0,2.0,9.0,11.0,13.0,,,,13.0,13.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Trial93,1,20,2.0,0.0,-15.696064900843565,-1.10632220308454,-1.4002648627843852,0.0,0.0,2.0,9.0,11.0,13.0,,,,13.0,13.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Trial93,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial93,1,22,2.0,0.0,-9.926127329345778,-0.5635333863417185,-0.7665037620704535,0.0,0.0,2.0,9.0,11.0,13.0,,,,13.0,13.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial93,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial93,1,24,2.0,0.0,-8.333701083350457,-0.2577771719758741,-0.5915941035235287,0.0,0.0,2.0,9.0,11.0,13.0,,,,13.0,13.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial93,2,17,1.0,1.0,3.767101867970994,0.7820074531104372,0.7375395487771702,1.0,0.0,1.0,3.0,5.0,,,,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Trial93,2,18,1.0,1.0,-15.069562470919404,-2.271497444410336,-1.3314507959650073,1.0,0.0,1.0,3.0,5.0,,,,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
