TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial46,10,107,2.0,0.0,8.578895481318401,-1.0363366207850224,0.932666565395574,1.0,0.0,1.0,4.0,22.0,,,,4.0,4.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,10,108,1.0,1.0,14.087445221874018,2.33386406247368,1.520708713040698,0.0,0.0,1.0,4.0,22.0,,,,4.0,4.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,11,101,2.0,0.0,8.85223833324133,-0.3145827903175093,0.9618461362914864,0.0,0.0,1.0,3.0,5.0,8.0,15.0,15.0,8.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,11,102,2.0,0.0,3.122529477776867,1.5052853546480058,0.3501950739542034,0.0,0.0,1.0,3.0,5.0,8.0,15.0,15.0,8.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,11,103,2.0,0.0,-4.0629281202956005,-0.8236439484663138,-0.4168583460549112,0.0,0.0,1.0,3.0,5.0,8.0,16.0,16.0,8.0,10.0,1.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,11,104,2.0,0.0,-10.569740540117008,-1.8026461113607288,-1.1114658434703395,0.0,0.0,1.0,3.0,5.0,8.0,16.0,16.0,8.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,11,105,2.0,0.0,-11.285350659178071,1.5186674700075484,-1.1878578034432394,0.0,0.0,1.0,3.0,6.0,18.0,20.0,20.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,11,106,2.0,0.0,-11.059448778785288,-1.4367753943611028,-1.1637425946932416,0.0,0.0,1.0,3.0,6.0,18.0,20.0,20.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,11,107,1.0,1.0,6.160353027120452,0.9948433739559928,0.6744851989885928,1.0,0.0,1.0,4.0,22.0,,,,4.0,4.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,11,108,1.0,1.0,0.6803019572921534,-1.4986374607321074,0.08948530753227,1.0,0.0,1.0,4.0,22.0,,,,4.0,4.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
