TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial75,39,53,2,0,-7.755245301629209,-0.7669792984296676,-0.5789691206465207,0,0,1,3,,,,3,3,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial75,39,54,2,0,-4.499283842179059,0.0796766916457807,-0.2478120946372569,0,0,1,3,,,,3,3,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial75,39,55,2,0,23.756299889732208,2.7235065196509054,2.626004193837988,0,0,1,4,5.0,7.0,9.0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
Trial75,39,56,2,0,-1.275269809191972,-0.1422866557612163,0.0800956254855839,0,0,1,4,5.0,7.0,9.0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
Trial75,39,57,2,0,3.685032866751336,-0.6801561059148149,0.5845976298024838,0,0,1,4,5.0,7.0,9.0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
Trial75,39,58,2,0,3.330088724877614,0.3035363287624741,0.5484970039547313,0,0,1,4,5.0,7.0,10.0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
Trial75,39,59,2,0,1.3461692387332247,0.10468439401002,0.3467167049384304,0,0,1,4,5.0,7.0,10.0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
Trial75,39,60,2,0,-7.872731776216974,-0.7082251563595282,-0.5909184241027624,1,0,1,4,5.0,7.0,10.0,4,16,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial75,39,61,1,1,-8.851060019370262,-0.7886485653324531,-0.6904221422819766,1,0,1,4,6.0,,,4,16,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial75,39,62,1,1,-10.102160690017946,-0.7481444629241545,-0.8176689732072571,1,0,1,4,6.0,,,4,16,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial75,39,63,1,1,-5.8788914153432685,-0.2616722658391733,-0.388129093680013,1,0,2,13,15.0,,,15,16,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial75,39,64,1,1,-9.152813102492171,-0.3984212178315833,-0.7211128168615992,1,0,2,13,15.0,,,15,16,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial75,39,65,1,1,-11.19735205519721,-0.7689193278239533,-0.9290585949581972,1,0,2,13,15.0,,,15,16,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial75,39,66,1,1,-11.435211206279764,-0.5848909302717148,-0.95325075142644,1,0,2,13,16.0,,,16,16,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial75,39,67,1,1,-8.746565494820015,-0.3627756341378408,-0.6797942228746763,1,0,2,13,16.0,,,16,16,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial75,39,68,1,1,-8.258544973613168,-0.5058160340828328,-0.6301586769853701,1,0,2,13,16.0,,,16,16,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial75,40,53,2,0,2.4597048157483745,0.3382888747380744,0.4599720780846837,0,0,1,3,,,,3,3,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial75,40,54,2,0,-11.793714151494848,-1.1503004094817308,-0.9897133357142276,0,0,1,3,,,,3,3,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial75,40,55,2,0,-0.9770405701613636,-0.8044100244843421,0.1104278972573328,0,0,1,4,5.0,7.0,9.0,4,3,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial75,40,56,2,0,4.414955733097119,1.2527221479230255,0.6588365569659665,0,0,1,4,5.0,7.0,9.0,4,3,0,0,0,1,1,1,1,1,1,1,1,1,1
Trial75,40,57,2,0,34.96841187470813,3.625774383088882,3.766364639275962,0,0,1,4,5.0,7.0,9.0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
Trial75,40,58,2,0,5.751657247996103,0.614499686629136,0.7947896706157759,0,0,1,4,5.0,7.0,10.0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
Trial75,40,59,2,0,5.370233816209248,0.5055421616551431,0.7559958916064529,0,0,1,4,5.0,7.0,10.0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1
