TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial92,2,1,2.0,0.0,9.10452551234827,0.8134546687219596,0.8134546687219595,0.0,0.0,1.0,3.0,5.0,,,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,2,2,2.0,0.0,13.645844466805432,1.222199492007254,1.222199492007254,0.0,0.0,1.0,3.0,5.0,,,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,2,3,2.0,0.0,11.994039523563638,1.0735275474911157,1.0735275474911157,0.0,0.0,1.0,3.0,5.0,,,3.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,2,4,2.0,0.0,23.239904937894003,2.0857201103938303,2.08572011039383,0.0,0.0,1.0,3.0,5.0,,,3.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,2,5,2.0,0.0,-0.8283774596052149,-0.0805637234449939,-0.0805637234449939,0.0,0.0,1.0,4.0,9.0,11.0,11.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial92,2,7,2.0,0.0,1.7568485317564762,0.1521214835595853,0.1521214835595853,0.0,0.0,1.0,4.0,9.0,11.0,11.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,2,8,2.0,0.0,-7.035971816927835,-0.6392829158329947,-0.6392829158329946,0.0,0.0,1.0,4.0,9.0,11.0,11.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,2,9,1.0,1.0,-1.8246613564693888,-0.1702350038482459,-0.1702350038482459,1.0,0.0,1.0,4.0,10.0,15.0,15.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,2,10,1.0,1.0,1.9153414669111943,0.1663867592254137,0.1663867592254137,1.0,0.0,1.0,4.0,10.0,15.0,15.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,2,11,1.0,1.0,17.481752094532805,1.5674532390261209,1.5674532390261209,1.0,0.0,1.0,4.0,10.0,15.0,15.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,2,12,1.0,1.0,11.674662210433034,1.04478175255223,1.0447817525522298,1.0,0.0,1.0,4.0,10.0,15.0,15.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial92,3,1,2.0,0.0,-0.6770810568815326,-0.066946177085627,-0.066946177085627,0.0,0.0,1.0,3.0,5.0,,,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
