TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_TreeDepth7,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial69,8,53,0.0,0.0,1.0374377109519564,-0.2254330005278355,0.1456274269625634,0.0,0.0,1.0,3.0,,,,,,3.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,54,0.0,0.0,-4.20576024053355,-0.9960994048726608,-0.4210909815683917,0.0,0.0,1.0,3.0,,,,,,3.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,55,0.0,0.0,-9.887812882149532,-0.6934862520314764,-1.0352436151406932,0.0,0.0,2.0,5.0,7.0,9.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,56,0.0,0.0,-12.070107728056836,-0.2427517522922183,-1.2711200160435996,0.0,0.0,2.0,5.0,7.0,9.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,57,0.0,0.0,2.3324695702985783,0.4275573349308366,0.285602762838995,0.0,0.0,2.0,5.0,7.0,10.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,58,0.0,0.0,-4.919664920016475,-0.1741518784479907,-0.4982543706952008,0.0,0.0,2.0,5.0,7.0,10.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,59,0.0,0.0,4.50109485659693,-0.3729052941212225,0.520001670208645,0.0,0.0,2.0,6.0,11.0,13.0,15.0,17.0,17.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,60,0.0,0.0,-20.134609478207416,-0.4099192748240135,-2.1427830048776526,0.0,0.0,2.0,6.0,11.0,13.0,15.0,17.0,17.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,61,1.0,1.0,-11.349128575378096,-1.4947864350988636,-1.19319197255359,0.0,0.0,2.0,6.0,11.0,13.0,15.0,18.0,18.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,62,1.0,1.0,0.2501716933539903,-0.4557526921074077,0.0605346746553162,1.0,0.0,2.0,6.0,11.0,13.0,15.0,18.0,18.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,63,1.0,1.0,10.876347934791436,0.3308475153725274,1.209079845758518,1.0,0.0,2.0,6.0,11.0,13.0,16.0,19.0,19.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,64,1.0,1.0,7.723393811565532,-0.1599417394761378,0.868288374709928,1.0,0.0,2.0,6.0,11.0,13.0,16.0,19.0,19.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,65,1.0,1.0,11.495039030672649,1.3587954643458982,1.2759519410855182,1.0,0.0,2.0,6.0,11.0,13.0,16.0,19.0,19.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,66,1.0,1.0,0.5603215701750104,-0.7988492163774317,0.0940576593345961,1.0,0.0,2.0,6.0,11.0,14.0,21.0,,,14.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,67,1.0,1.0,15.225127733452563,-0.1369812862697992,1.6791238130763164,1.0,0.0,2.0,6.0,11.0,14.0,21.0,,,14.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,8,68,1.0,1.0,-4.919454629865935,-0.6320122959464385,-0.498231641189173,1.0,0.0,2.0,6.0,11.0,14.0,21.0,,,14.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,53,0.0,0.0,2.9382075111380304,0.9611452601743706,0.351074798225737,0.0,0.0,1.0,3.0,,,,,,3.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,54,0.0,0.0,1.7826799521996013,1.2101240288854993,0.2261779804296988,0.0,0.0,1.0,3.0,,,,,,3.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,55,0.0,0.0,-7.398818081594948,0.1861323706191168,-0.7662171192380397,0.0,0.0,2.0,5.0,7.0,9.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,56,0.0,0.0,-13.256351748083883,-0.4372868840553457,-1.3993368656417773,0.0,0.0,2.0,5.0,7.0,9.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,57,0.0,0.0,-0.0005471846993591,-0.9534914605030465,0.0334353728792304,0.0,0.0,2.0,5.0,7.0,10.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,58,0.0,0.0,-4.834110724844777,-0.7595576102360192,-0.4890071254491742,0.0,0.0,2.0,5.0,7.0,10.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,59,0.0,0.0,8.27723776857013,-0.2211514475228263,0.9281513760294196,0.0,0.0,2.0,6.0,11.0,13.0,15.0,17.0,17.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,60,0.0,0.0,-22.12942134861979,-0.8225100388371755,-2.3583950452734315,0.0,0.0,2.0,6.0,11.0,13.0,15.0,17.0,17.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,61,1.0,1.0,-3.633464692047744,0.4868522297814797,-0.3592336140899548,1.0,0.0,2.0,6.0,11.0,13.0,15.0,18.0,18.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,62,1.0,1.0,3.563384955361677,1.7310829513874588,0.4186479796158264,1.0,0.0,2.0,6.0,11.0,13.0,15.0,18.0,18.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,63,1.0,1.0,11.308182495434984,0.3299474212070992,1.2557552902527007,1.0,0.0,2.0,6.0,11.0,13.0,16.0,19.0,19.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,64,1.0,1.0,10.803955587406705,-0.4821252142497355,1.2012552173009805,1.0,0.0,2.0,6.0,11.0,13.0,16.0,19.0,19.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,65,1.0,1.0,4.914480221350261,-0.4222471293690688,0.5646830074746967,1.0,0.0,2.0,6.0,11.0,13.0,16.0,19.0,19.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,66,1.0,1.0,6.3404856579286175,1.996715375819468,0.7188148062455618,1.0,0.0,2.0,6.0,11.0,14.0,21.0,,,14.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,67,1.0,1.0,19.98151902215202,0.8209954334965562,2.193225040308936,1.0,0.0,2.0,6.0,11.0,14.0,21.0,,,14.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,9,68,1.0,1.0,-1.6430056364338848,0.273427927607502,-0.1440920537901153,1.0,0.0,2.0,6.0,11.0,14.0,21.0,,,14.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,53,0.0,0.0,-3.6132274198300185,-1.429809125383943,-0.3570462401227012,0.0,0.0,1.0,3.0,,,,,,3.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial69,10,55,0.0,0.0,-6.917994716043422,-0.2722498215732468,-0.7142466510178467,0.0,0.0,2.0,5.0,7.0,9.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,56,0.0,0.0,-11.14895242081411,-0.563584473575297,-1.171555651974046,0.0,0.0,2.0,5.0,7.0,9.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,57,0.0,0.0,6.221253233880852,0.3472575886571181,0.7059274023697472,0.0,0.0,2.0,5.0,7.0,10.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,58,0.0,0.0,1.836730932177544,1.1142727105929713,0.2320201564520554,0.0,0.0,2.0,5.0,7.0,10.0,,,,7.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,59,0.0,0.0,14.44728457815798,0.0684561625455657,1.5950495440645294,0.0,0.0,2.0,6.0,11.0,13.0,15.0,17.0,17.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,60,0.0,0.0,-17.807265828515348,-0.3206383303596115,-1.89122880046612,0.0,0.0,2.0,6.0,11.0,13.0,15.0,17.0,17.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,61,1.0,1.0,-0.438198103493028,0.6663124463777378,-0.0138687408478867,1.0,0.0,2.0,6.0,11.0,13.0,15.0,18.0,18.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,62,1.0,1.0,-8.441463140229754,-2.522513465763967,-0.8789128735771967,0.0,0.0,2.0,6.0,11.0,13.0,15.0,18.0,18.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,63,1.0,1.0,9.343843246824663,0.204268129172334,1.0434369259475855,1.0,0.0,2.0,6.0,11.0,13.0,16.0,20.0,20.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,64,1.0,1.0,18.73740070164633,1.0864886527266573,2.058752765726697,1.0,0.0,2.0,6.0,11.0,13.0,16.0,20.0,20.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,65,1.0,1.0,2.3671391956140058,-0.5108517467884512,0.289350077944189,1.0,0.0,2.0,6.0,11.0,13.0,16.0,20.0,20.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,66,1.0,1.0,-5.442926469041961,-0.3923993421714118,-0.5548118295310149,0.0,0.0,2.0,6.0,11.0,14.0,22.0,,,14.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial69,10,67,1.0,1.0,18.36098351013056,0.7242820626085108,2.0180671853436274,1.0,0.0,2.0,6.0,11.0,14.0,22.0,,,14.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,10,68,1.0,1.0,-0.8796523829853291,0.2878061713583414,-0.0615839461534913,1.0,0.0,2.0,6.0,11.0,14.0,22.0,,,14.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,11,53,0.0,0.0,2.482465850763002,1.5796198150604364,0.3018153213074918,0.0,0.0,1.0,3.0,,,,,,3.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,11,54,0.0,0.0,-5.0163158623441095,0.3969978312256467,-0.5087010234299915,0.0,0.0,1.0,3.0,,,,,,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,11,55,0.0,0.0,-4.3167143073067065,0.859905108516432,-0.433083607580901,0.0,0.0,2.0,5.0,7.0,9.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial69,11,56,0.0,0.0,-4.515330922717852,0.5240195811980335,-0.4545513631825598,0.0,0.0,2.0,5.0,7.0,9.0,,,,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
