TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_TreeDepth7,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial79,19,5,2.0,0.0,39.63907917935329,2.9031643926503627,2.8167748113274382,0.0,0.0,1.0,3.0,5.0,7.0,,,,3.0,3.0,0.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Trial79,19,6,2.0,0.0,7.050934302619053,0.5795168082230153,0.4609146539968069,0.0,0.0,1.0,3.0,5.0,7.0,,,,3.0,3.0,0.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Trial79,19,7,2.0,0.0,23.397535483974085,1.3771098586089987,1.6426421373069091,0.0,0.0,1.0,3.0,6.0,9.0,11.0,,,3.0,3.0,0.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Trial79,19,8,2.0,0.0,-39.315637314159154,-2.8511850416038538,-2.8910146785001247,0.0,0.0,1.0,3.0,6.0,9.0,11.0,,,3.0,3.0,0.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Trial79,19,9,2.0,0.0,-5.606518536481805,-0.4250590098691885,-0.4541171451350948,0.0,0.0,1.0,3.0,6.0,9.0,12.0,,,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Trial79,19,10,2.0,0.0,-0.568381813080974,-0.4262294283328625,-0.089900476197978,0.0,0.0,1.0,3.0,6.0,9.0,12.0,,,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Trial79,19,11,1.0,1.0,-10.23367975666404,-0.8042052469418463,-0.7886235983684996,1.0,0.0,2.0,15.0,17.0,19.0,21.0,,,19.0,19.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Trial79,19,12,1.0,1.0,-10.059775107105644,-0.7731398656942288,-0.7760516941800637,1.0,0.0,2.0,15.0,17.0,19.0,21.0,,,19.0,19.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Trial79,19,13,1.0,1.0,28.83409837467329,1.8768033393116588,2.0356618061302307,1.0,0.0,2.0,15.0,17.0,19.0,21.0,,,19.0,19.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Trial79,19,14,1.0,1.0,7.205488675140938,0.4928120003160879,0.4720876891524684,1.0,0.0,2.0,15.0,17.0,19.0,22.0,,,19.0,19.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial79,19,15,1.0,1.0,5.438342761708738,0.2973015606599249,0.3443372858879741,1.0,0.0,2.0,15.0,17.0,19.0,22.0,,,19.0,19.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial79,19,16,1.0,1.0,6.868039493248096,0.5187665249414725,0.447692833730283,1.0,0.0,2.0,15.0,17.0,19.0,22.0,,,19.0,19.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
