TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial3,2,1,1,1,-23.427085509454805,-1.2076362744646707,-1.3392131358995536,1,0,1,3,5.0,7.0,7.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial3,2,2,1,1,-10.141388986540854,0.0470380825984791,-0.5779431467923808,1,0,1,3,5.0,7.0,7.0,5,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,2,3,1,1,-11.145313909643018,-0.3728756866957267,-0.6354680130239918,1,0,1,3,6.0,9.0,9.0,6,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,2,4,1,1,-6.875698557600952,-0.1389306534752306,-0.390819188859221,1,0,1,3,6.0,9.0,9.0,6,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,2,5,1,1,-3.830371357405826,-0.4775027156635699,-0.2163220369393422,1,0,2,11,13.0,,,13,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,2,6,1,1,18.33695174784341,1.510487607377821,1.0538648734543483,1,0,2,11,13.0,,,13,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,2,7,0,0,-12.33345723164947,-0.9920542945235749,-0.7035485876661731,1,0,2,11,14.0,15.0,17.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,2,8,0,0,-8.53711117784139,-0.3023616825024499,-0.4860180792697897,1,0,2,11,14.0,15.0,17.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,2,9,0,0,0.141615592531326,-0.372413341945985,0.0112726892308207,1,0,2,11,14.0,15.0,18.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,2,10,0,0,27.460086774908223,1.1951678240075332,1.576620220958975,0,0,2,11,14.0,15.0,18.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,2,11,0,0,28.34764044941648,0.7281482741873688,1.6274770183394964,0,0,2,11,14.0,16.0,16.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,2,12,0,0,26.93937740824056,1.034391344741615,1.5467835907749703,0,0,2,11,14.0,16.0,16.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,3,1,1,1,-21.317593345998343,-1.0198425193952012,-1.218339301883665,1,0,1,3,5.0,7.0,7.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial3,3,2,1,1,-12.89362024624663,-0.2464449368471344,-0.7356459106243743,1,0,1,3,5.0,7.0,7.0,5,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,3,3,1,1,-7.518812002466675,-0.1659121393865447,-0.4276695688391654,1,0,1,3,6.0,9.0,9.0,6,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,3,4,1,1,-2.797632920127904,0.0486370043460414,-0.1571461572599314,1,0,1,3,6.0,9.0,9.0,6,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,3,5,1,1,-3.733612841655993,-0.6635159854369572,-0.2107777770577575,1,0,2,11,13.0,,,13,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,3,6,1,1,23.760810203901165,1.375937914719471,1.36465179084634,1,0,2,11,13.0,,,13,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,3,7,0,0,11.501584241519966,0.3357044447691262,0.6621985322800069,0,0,2,11,14.0,15.0,17.0,14,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,3,8,0,0,-3.6406242692412825,0.4364794950439811,-0.2054495348096265,1,0,2,11,14.0,15.0,17.0,14,14,2,2,2,0,0,0,0,0,0,0,0,0,0
Trial3,3,9,0,0,-44.60893784009487,-2.6470695357992446,-2.552932602184592,0,0,2,11,14.0,15.0,18.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,3,10,0,0,-7.598665939762615,0.2006466714353606,-0.4322451969118523,0,0,2,11,14.0,15.0,18.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,3,11,0,0,10.546235066688784,0.8194652184804374,0.6074570548826469,0,0,2,11,14.0,16.0,16.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,3,12,0,0,0.7652027414099476,-0.1780715434102824,0.0470042130704215,0,0,2,11,14.0,16.0,16.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,4,1,1,1,-16.191423101042663,-0.7505593376863885,-0.9246099095399198,1,0,1,3,5.0,7.0,7.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial3,4,2,1,1,-10.886502911000528,-0.0985654050716833,-0.6206381510158108,1,0,1,3,5.0,7.0,7.0,5,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,4,3,1,1,-13.558699983601484,-0.5862124168431696,-0.7737549584667892,1,0,1,3,6.0,9.0,9.0,6,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,4,4,1,1,-3.2761437626003507,0.1069518039983916,-0.1845648133468287,1,0,1,3,6.0,9.0,9.0,6,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,4,5,1,1,-2.100561796013041,-0.5274483038569026,-0.1172040039714973,1,0,2,11,13.0,,,13,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,4,6,1,1,22.71753248315345,1.2081472119111956,1.3048720105586018,1,0,2,11,13.0,,,13,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,4,7,0,0,14.837380646864256,-0.0952972067094806,0.8533395604361445,0,0,2,11,14.0,15.0,17.0,14,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,4,8,0,0,29.33339142386968,2.013214796908084,1.6839605178903183,0,0,2,11,14.0,15.0,17.0,14,13,1,1,1,2,2,2,2,2,2,2,2,2,2
Trial3,4,9,0,0,-20.81094689479277,-2.2162980411144457,-1.1893084763093158,0,0,2,11,14.0,15.0,18.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,4,10,0,0,13.962829989048336,1.7771127450044284,0.8032278354994098,0,0,2,11,14.0,15.0,18.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,4,11,0,0,-22.46773762071784,-1.79969597760254,-1.2842425323223012,0,0,2,11,14.0,16.0,16.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,4,12,0,0,3.464069254439196,0.6966876834739946,0.2016491786115177,0,0,2,11,14.0,16.0,16.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,5,1,1,1,-7.189523244570548,-0.2517327933886418,-0.4088013334625441,1,0,1,3,5.0,8.0,8.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial3,5,2,1,1,-8.567948913464223,-0.0737231097730199,-0.487785080542263,1,0,1,3,5.0,8.0,8.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial3,5,3,1,1,-16.400940498582735,-0.7149403716355334,-0.9366152497693916,1,0,1,3,6.0,10.0,10.0,6,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,5,4,1,1,-8.2884451200983,-0.1606165824544424,-0.4717695220531684,1,0,1,3,6.0,10.0,10.0,6,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,5,5,1,1,-2.0042824509042303,-0.3558523106974065,-0.1116872005524354,1,0,2,11,13.0,,,13,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,5,6,1,1,19.555543371957352,1.4157435949606203,1.1236901348409332,1,0,2,11,13.0,,,13,13,1,1,1,0,0,0,0,0,0,0,0,0,0
Trial3,5,7,0,0,-5.594132501131461,-0.6947527060799179,-0.3173854944973187,1,0,2,11,14.0,15.0,17.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,5,8,0,0,-2.976574359005159,-0.0407942676163256,-0.1673994960284308,1,0,2,11,14.0,15.0,17.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,5,9,0,0,-1.808340374086571,-0.8611453915432106,-0.10045972576951,1,0,2,11,14.0,15.0,18.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,5,10,0,0,39.84189048458632,2.3020768121739272,2.2860971805551,0,0,2,11,14.0,15.0,18.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,5,11,0,0,15.04053500671457,-0.2586768434234637,0.8649802988079406,0,0,2,11,14.0,16.0,16.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,5,12,0,0,20.93130284407957,0.9544559960634136,1.2025211089302663,0,0,2,11,14.0,16.0,16.0,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2
Trial3,6,1,1,1,-3.106960913163505,-0.033966239489945,-0.1748706414435509,1,0,1,3,5.0,8.0,8.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial3,6,2,1,1,-7.123082262762583,-0.0959079551607486,-0.4049942673136234,1,0,1,3,5.0,8.0,8.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial3,6,3,1,1,-14.783328081082916,-0.6813489720089353,-0.8439261095857485,1,0,1,3,6.0,10.0,10.0,6,13,1,1,1,0,0,0,0,0,0,0,0,0,0
