TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial83,2,53,1.0,1.0,-1.285457370252654,-1.0506510243578608,-0.3352108171373709,1.0,0.0,1.0,3.0,5.0,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial83,2,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial83,2,55,1.0,1.0,-18.024068009629584,-2.183605636233362,-2.341606118438226,1.0,0.0,1.0,3.0,5.0,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial83,2,56,1.0,1.0,-12.564906611742488,-1.6661621208206283,-1.687236648131257,1.0,0.0,1.0,3.0,5.0,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial83,2,57,1.0,1.0,3.7162701228161694,0.8686540203129782,0.2643277441379961,1.0,0.0,1.0,3.0,6.0,7.0,7.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial83,2,58,1.0,1.0,8.47278158059207,-0.1256676772228443,0.834473166901739,1.0,0.0,1.0,3.0,6.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial83,2,59,1.0,1.0,-0.557678881708862,0.4101690869611332,-0.2479747035039602,1.0,0.0,1.0,3.0,6.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial83,2,60,2.0,0.0,19.499844299290427,1.4392052095608736,2.156246359588284,0.0,0.0,1.0,3.0,6.0,8.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial83,2,61,2.0,0.0,12.041857064937446,1.7052382202903058,1.2622850346879886,0.0,0.0,1.0,3.0,6.0,8.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial83,2,62,2.0,0.0,2.6309045838288494,0.7839174793790824,0.1342289943352411,0.0,0.0,1.0,4.0,9.0,11.0,11.0,9.0,9.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
