TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial65,44,37,1,1,-11.443324732532693,0.0846135089310713,-0.7547807237254593,1,0,1,3,5,7.0,9.0,9.0,7,6,6,0,0,3,3,3,3,3,3,3,3,3,3
Trial65,44,38,1,1,3.7145843837397656,0.63238097075663,0.4840974786708112,1,0,1,3,5,7.0,9.0,9.0,7,7,6,0,0,3,3,3,3,3,3,3,3,3,3
Trial65,44,39,1,1,-5.005219360301275,-0.1217633242146765,-0.2285849041565631,0,0,1,3,5,7.0,9.0,9.0,7,7,6,5,5,3,3,3,3,3,3,3,3,3,3
Trial65,44,40,1,1,5.789036926173164,0.6405571499408055,0.6536455355309291,1,0,1,3,5,7.0,9.0,9.0,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0
Trial65,44,41,1,1,-3.584709633140769,-0.4065165899311483,-0.1124845552382688,1,0,1,3,5,7.0,9.0,9.0,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0
Trial65,44,42,1,1,13.858628984653448,0.560157010630778,1.3131851611346308,1,0,1,3,5,7.0,9.0,9.0,7,19,7,0,0,0,0,0,0,0,0,0,0,0,0
Trial65,44,43,1,1,-0.9835271591964674,0.1660282085821603,0.1001139135020734,1,0,1,3,5,7.0,9.0,9.0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0
Trial65,44,44,1,1,-15.27257038852374,-2.5364737914803954,-1.067750602251458,1,0,1,3,6,11.0,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial65,44,45,1,1,38.02282484965417,2.41222055678482,3.2881604236163007,1,0,1,3,6,11.0,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial65,44,46,1,1,26.969179807813333,1.7947904053612744,2.384729759510973,1,0,1,3,6,12.0,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial65,44,47,1,1,-10.72649933693264,-1.153913910697648,-0.6961935300220989,1,0,1,3,6,12.0,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial65,44,48,1,1,21.97057055769739,1.8999896912413816,1.976186074840308,1,0,1,3,6,12.0,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Trial65,44,49,1,1,3.805988159156829,0.0174121368168903,0.4915680436486259,1,0,1,4,13,,,,4,4,1,8,8,3,3,3,3,3,3,3,3,3,3
Trial65,44,50,1,1,0.7046567268115083,0.5391768939465063,0.2380916650487345,1,0,1,4,13,,,,4,4,1,8,8,3,3,3,3,3,3,3,3,3,3
Trial65,44,51,0,0,-12.719610474386917,-0.377292894372514,-0.8590934342374209,0,0,1,4,14,,,,4,19,5,5,5,3,3,3,3,3,3,3,3,3,3
Trial65,44,52,0,0,-8.906298545009186,-0.5314158583084239,-0.5474258426187234,0,0,1,4,14,,,,4,19,5,5,5,3,3,3,3,3,3,3,3,3,3
Trial65,45,37,1,1,-25.60512311549883,-2.430243115089268,-1.9122453310671608,1,0,1,3,5,7.0,10.0,10.0,7,6,6,0,0,3,3,3,3,3,3,3,3,3,3
Trial65,45,38,1,1,-3.994168806703269,-0.4398586165879256,-0.1459502556199398,1,0,1,3,5,7.0,10.0,10.0,7,7,6,0,0,3,3,3,3,3,3,3,3,3,3
Trial65,45,39,1,1,-5.269073081762757,-0.1648888821146791,-0.2501500568192644,0,0,1,3,5,7.0,10.0,10.0,7,7,6,5,5,3,3,3,3,3,3,3,3,3,3
Trial65,45,40,1,1,-2.004382574333227,-0.8517634464456473,0.0166778992134392,0,0,1,3,5,7.0,10.0,10.0,7,7,6,5,5,3,3,3,3,3,3,3,3,3,3
