TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial72,9,85,0.0,0.0,3.8441562022060873,0.3379742464707313,0.3379742464707314,0.0,0.0,1.0,3.0,5.0,,,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,86,0.0,0.0,-24.495547880142777,-1.2853329879738584,-1.2853329879738586,0.0,0.0,1.0,3.0,5.0,,,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial72,9,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial72,9,89,0.0,0.0,-39.66809299041128,-2.154421182080167,-2.154421182080167,0.0,0.0,1.0,3.0,5.0,,,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,90,0.0,0.0,3.401537722463169,0.3126209196266073,0.3126209196266074,1.0,0.0,1.0,3.0,5.0,,,3.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial72,9,91,2.0,0.0,-9.85507938009088,-0.4467223107863431,-0.4467223107863431,0.0,0.0,1.0,3.0,5.0,,,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,92,2.0,0.0,-17.058160321222534,-0.8593170707052276,-0.8593170707052276,0.0,0.0,1.0,3.0,5.0,,,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,93,2.0,0.0,-6.274773112470462,-0.2416412327035466,-0.2416412327035466,0.0,0.0,1.0,3.0,5.0,,,3.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,94,2.0,0.0,-4.670327749051508,-0.1497380936255609,-0.1497380936255609,0.0,0.0,1.0,4.0,11.0,,,4.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,95,2.0,0.0,17.594977801493044,1.125625667135437,1.125625667135437,0.0,0.0,1.0,4.0,11.0,,,4.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,96,2.0,0.0,37.44567714186981,2.262680018669345,2.2626800186693456,0.0,0.0,1.0,4.0,11.0,,,4.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,97,2.0,0.0,-4.472375608963987,-0.138399332284083,-0.138399332284083,1.0,0.0,1.0,4.0,12.0,,,4.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial72,9,98,2.0,0.0,-48.837477236075486,-2.679646418664757,-2.679646418664757,0.0,0.0,1.0,4.0,12.0,,,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,99,2.0,0.0,-30.90407015721121,-1.6524151757142704,-1.6524151757142704,0.0,0.0,1.0,4.0,12.0,,,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,9,100,2.0,0.0,-2.6869941311023067,-0.0361321152081865,-0.0361321152081865,0.0,0.0,1.0,4.0,12.0,,,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,85,0.0,0.0,-30.1479764046235,-1.609105885859743,-1.609105885859743,0.0,0.0,1.0,3.0,6.0,7.0,9.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial72,10,87,0.0,0.0,52.994283221571735,3.153309104328355,3.1533091043283554,0.0,0.0,1.0,3.0,6.0,7.0,9.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,88,0.0,0.0,9.838545284442516,0.681334753517478,0.681334753517478,0.0,0.0,1.0,3.0,6.0,7.0,9.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,89,0.0,0.0,-7.124651716431239,-0.2903225485775708,-0.2903225485775708,0.0,0.0,1.0,3.0,6.0,7.0,10.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,90,0.0,0.0,-0.2090154852840314,0.1058072872240853,0.1058072872240853,1.0,0.0,1.0,3.0,6.0,7.0,10.0,3.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial72,10,91,2.0,0.0,-4.15459713138022,-0.1201968803419749,-0.1201968803419749,1.0,0.0,1.0,3.0,6.0,7.0,10.0,3.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial72,10,92,2.0,0.0,23.0017924538326,1.4353297245574912,1.4353297245574914,0.0,0.0,1.0,3.0,6.0,7.0,10.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,93,2.0,0.0,-8.198616416472749,-0.3518395870776779,-0.3518395870776779,0.0,0.0,1.0,3.0,6.0,7.0,10.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,94,2.0,0.0,31.032387407487352,1.895324749462548,1.895324749462548,0.0,0.0,1.0,4.0,11.0,,,4.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,95,2.0,0.0,14.663471464904903,0.957708054792843,0.957708054792843,0.0,0.0,1.0,4.0,11.0,,,4.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,96,2.0,0.0,-12.986787191943334,-0.626107527102454,-0.626107527102454,0.0,0.0,1.0,4.0,11.0,,,4.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,97,2.0,0.0,-2.3153448513138186,-0.0148439266369962,-0.0148439266369962,1.0,0.0,1.0,4.0,12.0,,,4.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial72,10,98,2.0,0.0,-31.1761911759894,-1.6680023539410962,-1.6680023539410962,0.0,0.0,1.0,4.0,12.0,,,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,10,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial72,10,100,2.0,0.0,17.05488229827493,1.0946888254832678,1.0946888254832678,0.0,0.0,1.0,4.0,12.0,,,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,85,0.0,0.0,19.333929430543424,1.2252333677516505,1.2252333677516505,0.0,0.0,1.0,3.0,6.0,7.0,9.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,86,0.0,0.0,-4.634243225778623,-0.1476711606925229,-0.1476711606925229,0.0,0.0,1.0,3.0,6.0,7.0,9.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,87,0.0,0.0,-19.577153199972354,-1.0036057814026638,-1.0036057814026638,0.0,0.0,1.0,3.0,6.0,7.0,9.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,88,0.0,0.0,7.103220847097843,0.5246545025595906,0.5246545025595907,0.0,0.0,1.0,3.0,6.0,7.0,9.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,89,0.0,0.0,-3.2529599766336554,-0.0685508182697973,-0.0685508182697973,0.0,0.0,1.0,3.0,6.0,7.0,10.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,90,0.0,0.0,32.51408754336061,1.980197002992488,1.980197002992488,0.0,0.0,1.0,3.0,6.0,7.0,10.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,91,0.0,0.0,2.4327826851692387,0.2571303239635655,0.2571303239635656,1.0,0.0,1.0,3.0,6.0,7.0,10.0,3.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial72,11,92,2.0,0.0,15.369139501356669,0.998128943640512,0.998128943640512,0.0,0.0,1.0,3.0,6.0,7.0,10.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,93,2.0,0.0,-39.86638913537055,-2.16577964812976,-2.16577964812976,0.0,0.0,1.0,3.0,6.0,7.0,10.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,94,2.0,0.0,4.232994337051645,0.3602470181090165,0.3602470181090165,0.0,0.0,1.0,4.0,11.0,,,4.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,95,2.0,0.0,14.180512129478103,0.9300439909457832,0.9300439909457834,0.0,0.0,1.0,4.0,11.0,,,4.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,96,2.0,0.0,31.51281251438628,1.9228436518960967,1.9228436518960976,0.0,0.0,1.0,4.0,11.0,,,4.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,11,97,2.0,0.0,-8.08976225124659,-0.3456043859832137,-0.3456043859832138,1.0,0.0,1.0,4.0,12.0,,,4.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial72,11,98,2.0,0.0,1.4143566211688114,0.1987945561434451,0.1987945561434451,1.0,0.0,1.0,4.0,12.0,,,4.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial72,11,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial72,11,100,2.0,0.0,-31.9660894091798,-1.713247975161665,-1.7132479751616652,0.0,0.0,1.0,4.0,12.0,,,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial72,12,85,0.0,0.0,-10.207805325494087,-0.4669265647646323,-0.4669265647646323,0.0,0.0,1.0,3.0,6.0,8.0,8.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
