TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_TreeDepth7,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial55,1,1,2.0,0.0,-46.50781290347413,-2.081622458616427,-2.081622458616428,0.0,0.0,1.0,3.0,5.0,7.0,,,,5.0,15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,1,2,2.0,0.0,1.7740721169243447,0.0208249520756538,0.0208249520756538,0.0,0.0,1.0,3.0,5.0,7.0,,,,5.0,15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,1,3,2.0,0.0,17.129043133193708,0.6894612126683857,0.6894612126683857,0.0,0.0,1.0,3.0,5.0,8.0,,,,5.0,15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,1,4,2.0,0.0,37.12156882794017,1.5600410142307335,1.5600410142307335,0.0,0.0,2.0,15.0,17.0,,,,,15.0,15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial55,1,6,2.0,0.0,-65.56129439916755,-2.911311332991686,-2.9113113329916867,0.0,0.0,2.0,15.0,17.0,,,,,15.0,15.0,7.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial55,1,7,2.0,0.0,-4.8929234717616925,-0.269491128305352,-0.269491128305352,0.0,0.0,2.0,15.0,18.0,,,,,15.0,15.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,1,8,2.0,0.0,47.91257389191005,2.029938174333812,2.029938174333812,0.0,0.0,2.0,15.0,18.0,,,,,15.0,15.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,2,1,2.0,0.0,14.04560036566606,0.5551918845369997,0.5551918845369999,0.0,0.0,1.0,3.0,5.0,7.0,,,,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,2,2,2.0,0.0,-11.684232273979408,-0.5652204603395206,-0.5652204603395207,1.0,0.0,1.0,3.0,5.0,7.0,,,,5.0,15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,2,3,2.0,0.0,-10.42538735167385,-0.5104037263564539,-0.510403726356454,1.0,0.0,1.0,3.0,5.0,8.0,,,,5.0,5.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,2,4,2.0,0.0,-16.31424034739793,-0.7668353824025173,-0.7668353824025173,1.0,0.0,2.0,15.0,17.0,,,,,15.0,5.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial55,2,6,2.0,0.0,-15.989043180711752,-0.7526745860546757,-0.7526745860546759,0.0,0.0,2.0,15.0,17.0,,,,,15.0,15.0,7.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial55,2,7,2.0,0.0,11.342741810378854,0.4374951962525699,0.4374951962525699,0.0,0.0,2.0,15.0,18.0,,,,,15.0,15.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,2,8,2.0,0.0,-36.31910998028656,-1.6379527040052229,-1.637952704005223,0.0,0.0,2.0,15.0,18.0,,,,,15.0,15.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,3,1,2.0,0.0,20.69434449387776,0.8447132002604243,0.8447132002604244,0.0,0.0,1.0,3.0,5.0,7.0,,,,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,3,2,2.0,0.0,-32.83245786531241,-1.4861255185501727,-1.486125518550173,0.0,0.0,1.0,3.0,5.0,7.0,,,,5.0,15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,3,3,2.0,0.0,-34.443325303441554,-1.556271165780639,-1.556271165780639,0.0,0.0,1.0,3.0,5.0,8.0,,,,5.0,15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,3,4,2.0,0.0,1.1089869758098194,-0.0081363557157724,-0.0081363557157724,1.0,0.0,2.0,15.0,17.0,,,,,15.0,5.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,3,5,2.0,0.0,2.466849181729879,0.0509921119840105,0.0509921119840105,1.0,0.0,2.0,15.0,17.0,,,,,15.0,22.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,3,6,2.0,0.0,-39.47559117343313,-1.7754025096336796,-1.7754025096336798,0.0,0.0,2.0,15.0,17.0,,,,,15.0,15.0,7.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial55,3,7,2.0,0.0,-25.95177269012222,-1.1865042687946137,-1.1865042687946137,0.0,0.0,2.0,15.0,18.0,,,,,15.0,15.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,3,8,2.0,0.0,2.207305983352633,0.0396902349930761,0.0396902349930761,0.0,0.0,2.0,15.0,18.0,,,,,15.0,15.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,4,1,2.0,0.0,36.28761616826546,1.523726325828818,1.5237263258288185,0.0,0.0,1.0,3.0,5.0,7.0,,,,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,4,2,2.0,0.0,4.393994537869506,0.134910164527552,0.134910164527552,0.0,0.0,1.0,3.0,5.0,7.0,,,,5.0,15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,4,3,2.0,0.0,-26.671395138590466,-1.217840418011214,-1.217840418011214,0.0,0.0,1.0,3.0,5.0,8.0,,,,5.0,15.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,4,4,2.0,0.0,1.1291361762330396,-0.0072589534718579,-0.0072589534718579,1.0,0.0,2.0,16.0,19.0,21.0,23.0,,,23.0,5.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,4,5,2.0,0.0,18.964160412133847,0.7693718783309615,0.7693718783309617,0.0,0.0,2.0,16.0,19.0,22.0,25.0,27.0,29.0,22.0,22.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial55,4,6,2.0,0.0,-10.037388108566509,-0.4935081970357393,-0.4935081970357393,0.0,0.0,2.0,16.0,19.0,22.0,25.0,27.0,30.0,22.0,23.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
