TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial71,33,17,1.0,1.0,-1.1563059563082014,-0.2197153637409241,-0.2197153637409241,1.0,0.0,1.0,3.0,,,,3.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,33,18,1.0,1.0,5.899880379334918,0.5996122596638495,0.5996122596638496,1.0,0.0,1.0,3.0,,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,33,19,1.0,1.0,9.84417042065117,1.057602685631848,1.057602685631848,1.0,0.0,1.0,3.0,,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,33,20,1.0,1.0,0.028469713968409,-0.0821453807471205,-0.0821453807471205,1.0,0.0,1.0,3.0,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,33,21,2.0,0.0,-12.114757075476854,-1.4921536589588615,-1.4921536589588615,0.0,0.0,1.0,3.0,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,33,22,2.0,0.0,15.993045077574356,1.7715780002890602,1.7715780002890602,0.0,0.0,1.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,33,23,2.0,0.0,13.0637293551521,1.431441108363329,1.431441108363329,0.0,0.0,1.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,33,24,2.0,0.0,2.94268032407194,0.2562375841720564,0.2562375841720564,0.0,0.0,1.0,3.0,,,,3.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,34,17,1.0,1.0,3.052290112460675,0.2689649021807662,0.2689649021807662,1.0,0.0,1.0,4.0,5.0,7.0,9.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,34,18,1.0,1.0,1.1607801999691525,0.0493326181777387,0.0493326181777387,1.0,0.0,1.0,4.0,5.0,7.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,34,19,1.0,1.0,1.5805751272875863,0.098077019722209,0.098077019722209,1.0,0.0,1.0,4.0,5.0,7.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,34,20,1.0,1.0,-8.306247491119496,-1.0499293527917235,-1.0499293527917235,1.0,0.0,1.0,4.0,5.0,7.0,9.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,34,21,2.0,0.0,3.2642757105035023,0.2935795662469808,0.2935795662469808,1.0,0.0,1.0,4.0,5.0,8.0,11.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,34,22,2.0,0.0,2.989308229102823,0.2616517737634392,0.2616517737634393,1.0,0.0,1.0,4.0,5.0,8.0,11.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,34,23,2.0,0.0,4.14050232635211,0.3953224393200478,0.3953224393200478,1.0,0.0,1.0,4.0,5.0,8.0,11.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,34,24,2.0,0.0,-4.312588291677586,-0.5862064371937016,-0.5862064371937016,0.0,0.0,1.0,4.0,5.0,8.0,11.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,35,17,1.0,1.0,-9.89571380777966,-1.2344899068594073,-1.2344899068594075,1.0,0.0,1.0,4.0,5.0,7.0,9.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,35,18,1.0,1.0,-1.6172293662695565,-0.2732353905785999,-0.2732353905785999,1.0,0.0,1.0,4.0,5.0,7.0,9.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,35,19,1.0,1.0,-1.8289145558675952,-0.2978151727801059,-0.2978151727801059,1.0,0.0,1.0,4.0,5.0,7.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,35,20,1.0,1.0,2.8030271773226207,0.2400217877936166,0.2400217877936167,1.0,0.0,1.0,4.0,5.0,7.0,9.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,35,21,2.0,0.0,-0.9204640957581136,-0.1923306346659865,-0.1923306346659865,1.0,0.0,1.0,4.0,5.0,8.0,11.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,35,22,2.0,0.0,5.397924556825074,0.5413277626922011,0.5413277626922011,1.0,0.0,1.0,4.0,5.0,8.0,11.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,35,23,2.0,0.0,-4.89869458181919,-0.6542620483867613,-0.6542620483867614,0.0,0.0,1.0,4.0,5.0,8.0,11.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,35,24,2.0,0.0,-3.0580856179681914,-0.4405401175539762,-0.4405401175539762,0.0,0.0,1.0,4.0,5.0,8.0,11.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,36,17,1.0,1.0,1.1944212970759571,0.053238847241166,0.053238847241166,1.0,0.0,1.0,4.0,5.0,7.0,10.0,5.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,36,18,1.0,1.0,1.4514955428570642,0.0830889703551855,0.0830889703551855,1.0,0.0,1.0,4.0,5.0,7.0,10.0,5.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,36,19,1.0,1.0,-0.3709762313399464,-0.1285269644356045,-0.1285269644356045,1.0,0.0,1.0,4.0,5.0,7.0,10.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,36,20,1.0,1.0,3.604773829539424,0.3331164352259474,0.3331164352259475,1.0,0.0,1.0,4.0,5.0,7.0,10.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,36,21,2.0,0.0,-6.231636967437672,-0.809036379023077,-0.809036379023077,0.0,0.0,1.0,4.0,5.0,8.0,12.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,36,22,2.0,0.0,4.9984537759919405,0.4949432952318714,0.4949432952318715,1.0,0.0,1.0,4.0,5.0,8.0,12.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,36,23,2.0,0.0,-5.975149925819844,-0.7792544389995638,-0.7792544389995638,0.0,0.0,1.0,4.0,5.0,8.0,12.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,36,24,2.0,0.0,8.284153690329445,0.8764616642178081,0.8764616642178082,0.0,0.0,1.0,4.0,5.0,8.0,12.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,37,17,1.0,1.0,10.834416306708256,1.172584882787156,1.172584882787156,1.0,0.0,1.0,4.0,5.0,7.0,10.0,5.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,37,18,1.0,1.0,-3.5772612874808134,-0.500824093514567,-0.5008240935145671,1.0,0.0,1.0,4.0,5.0,7.0,10.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,37,19,1.0,1.0,-2.7585170643327195,-0.4057557766335651,-0.4057557766335651,1.0,0.0,1.0,4.0,5.0,7.0,10.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,37,20,1.0,1.0,6.834421705100269,0.7081263332711594,0.7081263332711594,1.0,0.0,1.0,4.0,5.0,7.0,10.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,37,21,2.0,0.0,-6.054060457777128,-0.7884171191691026,-0.7884171191691026,0.0,0.0,1.0,4.0,5.0,8.0,12.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,37,22,2.0,0.0,-4.914523171022,-0.656099981762738,-0.6560999817627381,0.0,0.0,1.0,4.0,5.0,8.0,12.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,37,23,2.0,0.0,-4.44915173396484,-0.602063473174738,-0.6020634731747381,0.0,0.0,1.0,4.0,5.0,8.0,12.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,37,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial71,38,17,1.0,1.0,4.605701129719325,0.4493389025826871,0.4493389025826872,1.0,0.0,1.0,4.0,6.0,13.0,13.0,6.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial71,38,18,1.0,1.0,-1.8590245942383423,-0.3013113936854856,-0.3013113936854857,1.0,0.0,1.0,4.0,6.0,13.0,13.0,6.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial71,38,19,1.0,1.0,1.3660964578977972,0.073172873189897,0.073172873189897,1.0,0.0,1.0,4.0,6.0,13.0,13.0,6.0,6.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
