TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial33,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial33,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial33,5,3,1.0,1.0,1.842177384895073,-0.072960585536293,0.4020650582128532,1.0,0.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,5,4,1.0,1.0,1.1171557849921665,0.0235733281829228,0.3659410027564209,1.0,0.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial33,5,6,1.0,1.0,2.632364163933868,0.2285098471324785,0.4414359556188886,1.0,0.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,5,7,1.0,1.0,-3.474252004805161,-0.0965045078713182,0.1371750326888457,1.0,0.0,1.0,,,,,,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,5,8,1.0,1.0,-0.0242201940066198,0.2470171907612342,0.3090721740656434,1.0,0.0,1.0,,,,,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,5,9,1.0,1.0,-5.333042585148129,0.1476298880499435,0.0445611657155094,1.0,0.0,1.0,,,,,,1.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,5,10,1.0,1.0,-6.151213951443683,0.187459780175243,0.0037959418754422,1.0,0.0,1.0,,,,,,1.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,6,1,0.0,0.0,21.792295138238032,1.0510208444742082,1.3960756644908274,0.0,0.0,2.0,3.0,5.0,,,,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial33,6,2,0.0,0.0,-24.563178414616686,-1.584801348011771,-0.9135764859509736,0.0,0.0,2.0,3.0,5.0,,,,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial33,6,3,0.0,0.0,27.02156789864172,1.3378459689102662,1.6566231284821495,0.0,0.0,2.0,3.0,5.0,,,,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial33,6,4,1.0,1.0,-13.12702108768356,-0.7406068848278109,-0.3437722462677136,1.0,0.0,2.0,3.0,5.0,,,,5.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,6,5,1.0,1.0,-7.705247257855153,-0.4157023786198709,-0.0736334551928224,1.0,0.0,2.0,3.0,6.0,,,,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,6,6,1.0,1.0,6.196634937425564,0.4496401204663941,0.6190250303452106,1.0,0.0,2.0,3.0,6.0,,,,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,6,7,1.0,1.0,-7.791400323852973,-0.3059536814292891,-0.0779260143859054,1.0,0.0,2.0,3.0,6.0,,,,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,6,8,1.0,1.0,4.280948732313609,0.5151841267959687,0.5235763503060864,1.0,0.0,2.0,3.0,6.0,,,,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trial33,6,9,1.0,1.0,-14.364564642437948,-0.3163166104584225,-0.4054326050869331,1.0,0.0,2.0,3.0,6.0,,,,6.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
