TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial89,2,1,1.0,1.0,0.6413211406165423,-0.1356909358371279,-0.2730640247354148,1.0,0.0,1.0,3.0,5.0,7.0,7.0,7.0,7.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial89,2,2,1.0,1.0,-2.497570576999528,-0.3802852108585215,-0.6376201238997684,1.0,0.0,1.0,3.0,5.0,7.0,7.0,7.0,7.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial89,2,3,1.0,1.0,0.746881074936946,-0.0845530698171646,-0.2608041185819402,1.0,0.0,1.0,3.0,5.0,7.0,7.0,7.0,7.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial89,2,4,1.0,1.0,0.1000960880046829,-0.1762432753804931,-0.3359228015587365,1.0,0.0,1.0,3.0,5.0,7.0,7.0,7.0,7.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial89,2,5,1.0,1.0,9.532160173007457,0.9146018691247338,0.7595327920825435,1.0,0.0,1.0,3.0,6.0,9.0,9.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial89,2,6,1.0,1.0,6.66568421381375,0.7465102832474213,0.4266155117038155,1.0,0.0,1.0,3.0,6.0,9.0,9.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial89,2,7,1.0,1.0,-5.784979637971222,-0.8199200477042023,-1.0194252740741072,1.0,0.0,1.0,3.0,6.0,10.0,10.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial89,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial89,2,9,1.0,1.0,-18.979258964121303,-3.3217310051021545,-2.5518307965173275,1.0,0.0,1.0,3.0,6.0,10.0,10.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial89,2,10,1.0,1.0,-1.2417585551123167,-0.186864471920906,-0.4917680292213949,1.0,0.0,2.0,23.0,25.0,27.0,27.0,23.0,23.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
