TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial10,25,85,2.0,0.0,-4.457062565632818,-0.0872399039329687,-0.2903810652760503,0.0,0.0,1.0,3.0,5.0,,,,3.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,86,2.0,0.0,-3.8317642768287032,0.0222070205407642,-0.2183309230774941,0.0,0.0,1.0,3.0,5.0,,,,3.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,87,2.0,0.0,-4.320249029599121,-0.4859510983232589,-0.2746166934515766,0.0,0.0,1.0,3.0,5.0,,,,3.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,88,2.0,0.0,-5.003122799497347,-0.55451428799339,-0.3533009839826264,0.0,0.0,1.0,4.0,7.0,9.0,,,9.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,89,2.0,0.0,-4.4972176701064335,0.0195846652059782,-0.2950079466207203,0.0,0.0,1.0,4.0,7.0,9.0,,,9.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,90,2.0,0.0,10.378657053888473,1.610063399737901,1.4190682125217873,0.0,0.0,1.0,4.0,7.0,9.0,,,9.0,10.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,91,2.0,0.0,3.391329044773998,0.9200985771187772,0.6139517014763489,0.0,0.0,1.0,4.0,7.0,9.0,,,9.0,10.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial10,25,93,0.0,0.0,8.580910177607743,1.3127864966272118,1.2119224064445642,0.0,0.0,1.0,4.0,7.0,9.0,,,9.0,10.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,94,0.0,0.0,0.5294232747375952,0.2946610180163451,0.2841879369147176,0.0,0.0,1.0,4.0,7.0,9.0,,,9.0,8.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,95,0.0,0.0,2.0719808713144774,0.5935342997025002,0.4619294982987825,0.0,0.0,1.0,4.0,7.0,9.0,,,9.0,8.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,96,0.0,0.0,1.3373272240330745,0.6072527364431582,0.3772788592341124,0.0,0.0,1.0,4.0,7.0,9.0,,,9.0,10.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,97,0.0,0.0,-11.297424975841537,-0.6367680391580998,-1.0785634306680487,0.0,0.0,1.0,4.0,8.0,15.0,,,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial10,25,98,0.0,0.0,6.260362157813083,1.127306156611433,0.9445367158095463,0.0,0.0,1.0,4.0,8.0,15.0,,,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
