TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial45,2,1,0.0,0.0,-20.67001088432537,-1.889461054922956,-1.6750224823221531,0.0,0.0,1.0,3.0,5.0,,,,3.0,3.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Trial45,2,2,0.0,0.0,-7.812167951062221,-0.921623161632337,-0.8003671184570625,0.0,0.0,1.0,3.0,5.0,,,,3.0,3.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Trial45,2,3,0.0,0.0,6.766235163005102,-0.0656924538170344,0.191329431772181,0.0,0.0,1.0,3.0,6.0,,,,3.0,3.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Trial45,2,4,0.0,0.0,25.90208554570537,1.481051184946447,1.4930465445274956,0.0,0.0,1.0,3.0,6.0,,,,3.0,3.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Trial45,2,5,0.0,0.0,-5.7273762152197305,-0.1915505854738649,-0.6585490636121918,0.0,0.0,1.0,4.0,7.0,,,,7.0,7.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Trial45,2,6,0.0,0.0,28.10092299185857,2.6447541133825063,1.6426225641232826,0.0,0.0,1.0,4.0,7.0,,,,7.0,7.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Trial45,2,7,0.0,0.0,-9.152031621572052,-0.9992757913935674,-0.8915114069930228,0.0,0.0,1.0,4.0,7.0,,,,7.0,7.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Trial45,2,8,0.0,0.0,-6.960108001276854,-0.6413570565762207,-0.7424057007229563,0.0,0.0,1.0,4.0,8.0,9.0,,,8.0,8.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Trial45,2,9,0.0,0.0,-7.455315037297286,-0.8283898165296294,-0.776092182392326,0.0,0.0,1.0,4.0,8.0,9.0,,,8.0,8.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Trial45,2,10,0.0,0.0,18.35596829028832,1.1357064432075028,0.9797215670749686,0.0,0.0,1.0,4.0,8.0,9.0,,,8.0,8.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
