TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial49,2,2,1.0,1.0,-1.959125046971642,-0.5885261993156112,-0.3077028810619058,1.0,0.0,1.0,3.0,5.0,7.0,,,5.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial49,2,3,1.0,1.0,1.4935225720999268,0.8996221495331072,0.1821229270266015,1.0,0.0,1.0,3.0,5.0,7.0,,,5.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial49,2,4,1.0,1.0,-3.9771410879919946,-0.567816343330383,-0.593998051344638,1.0,0.0,1.0,3.0,5.0,7.0,,,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial49,2,5,1.0,1.0,-6.058673503303442,-0.3025970068936479,-0.8893042655555524,1.0,0.0,1.0,3.0,5.0,7.0,,,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial49,2,6,1.0,1.0,-6.914470683434833,-0.4632182124372514,-1.010715886887024,1.0,0.0,1.0,3.0,5.0,7.0,,,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial49,2,7,1.0,1.0,-4.111279511215508,-0.5024362903382781,-0.6130282185671024,1.0,0.0,1.0,3.0,5.0,7.0,,,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial49,2,8,1.0,1.0,1.505685284374244,0.741618563735726,0.1838484464035014,1.0,0.0,1.0,3.0,5.0,7.0,,,5.0,15.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial49,2,9,1.0,1.0,-2.8063168412376425,-1.1302740590330798,-0.4278936595647769,1.0,0.0,1.0,3.0,5.0,7.0,,,5.0,15.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial49,2,10,1.0,1.0,2.143230244240864,1.2520744954706455,0.2742967080316015,1.0,0.0,1.0,4.0,15.0,,,,15.0,15.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial49,2,11,0.0,0.0,-3.034761235914024,-0.7396324817571635,-0.4603029791859139,1.0,0.0,1.0,4.0,15.0,,,,15.0,15.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
